grade,param,est,se
10,intercept_fixed,-0.0612619016196744,0.00959947348413708
10,slope_fixed,0.00324286958939812,0.00229558593695249
10,intercept_var,0.358901552374647,
10,slope_var,0.00382678393511733,
10,intercept_slope_cov,-0.00734942414930367,
10,residual_var,2.23229427949532,
11,intercept_fixed,-0.108679755165496,0.0106150545419872
11,slope_fixed,0.00889526870919033,0.00319543129688988
11,intercept_var,0.450024946137041,
11,slope_var,0.00508370424892579,
11,intercept_slope_cov,0.00530415790247223,
11,residual_var,2.67715697851447,
12,intercept_fixed,-0.0677658586857137,0.00793704465714056
12,slope_fixed,0.000510176862337492,0.00137366181433855
12,intercept_var,0.472758624834737,
12,slope_var,0.00162274141059434,
12,intercept_slope_cov,0.00447038915887589,
12,residual_var,2.87031974386786,
